id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2127222,Studioapartment in hip area,10832544,Manne,,Hägersten-Liljeholmens,59.30214,18.01303,Entire home/apt,421,2,0,,,1,0
2129983,Lovely loft apartment,1613669,Jessica,,Hägersten-Liljeholmens,59.29951,18.0056,Entire home/apt,1096,3,19,2019-08-11,0.30,1,0
2131343,Nice small apartment in Södermalm,10874053,Inez,,Södermalms,59.3092,18.0904,Entire home/apt,900,3,14,2016-06-12,0.22,1,0
2135084,Bright and quiet studio in trendy Hornstull,10894261,Erika,,Södermalms,59.31949,18.04308,Entire home/apt,988,2,17,2019-08-20,0.49,1,0
2161404,Spacious 3 room flat on Södermalm,784410,Karin,,Södermalms,59.30723,18.06276,Entire home/apt,998,20,4,2017-01-01,0.09,1,0
2166026,Stockholm house close to fair/town,4455221,Janu,,Enskede-Årsta-Vantörs,59.26987,18.06235,Entire home/apt,2632,2,171,2019-09-10,2.70,2,296
2170748,Fantastic apt in rebuilt factory,8067884,Magnus,,Södermalms,59.30468,18.09656,Entire home/apt,920,4,11,2017-10-26,0.17,1,0
2171269,"Modern townhouse, close to city and nature",11066969,Mette,,Enskede-Årsta-Vantörs,59.28709,18.09601,Entire home/apt,1203,2,8,2017-08-04,0.21,1,0
2176443,"Trendy, cosy Stockholm: near to all",3429907,Ella,,Södermalms,59.31692,18.06004,Private room,558,40,62,2019-06-10,0.90,1,254
2182253,Large apartment with beautiful view,11057740,Nilla,,Kungsholmens,59.32634,18.02076,Entire home/apt,1712,14,0,,,1,0
2185244,"Vasastan, Stockholm City, 20 kvm",11143767,Martina,,Norrmalms,59.33849,18.03771,Entire home/apt,704,2,6,2018-09-09,0.16,1,0
2190867,Charming and spacious with balcony,11173110,Carina,,Södermalms,59.31126,18.06327,Entire home/apt,1800,1,73,2019-08-12,1.07,1,5
2201342,Trendy/Cozy Apartment in Citycenter,2025322,Sebastian,,Norrmalms,59.33744,18.05149,Entire home/apt,1301,7,16,2019-09-06,0.24,1,357
2201891,Cosy&spacios&best location in Söder,10716545,Sofie,,Södermalms,59.30892,18.07769,Entire home/apt,998,5,0,,,1,0
2208331,Your perfect place in Stockholm,11264141,Linus,,Södermalms,59.3144,18.07716,Entire home/apt,792,2,4,2017-03-27,0.10,1,0
2208884,Bright spacious room with a view,11266733,Caroline,,Södermalms,59.31908,18.04533,Private room,597,3,43,2019-05-04,0.89,1,323
2217812,"Nice, small room in lovely Södermalm",11315214,Helena,,Södermalms,59.31522,18.0308,Private room,401,1,292,2019-09-24,4.26,1,52
2234982,Charming flat in central Stockholm,10716710,Jakob,,Norrmalms,59.34107,18.06061,Entire home/apt,890,1,28,2015-11-29,0.41,2,0
2241162,Stylish flat in upscale city centre,10152883,Martina,,Norrmalms,59.34805,18.06096,Entire home/apt,1605,3,12,2019-05-04,0.18,1,0
2241658,Cozyroom with soffa + free Jacuzzi,11448150,Liezl,,Norrmalms,59.34544,18.06157,Private room,430,7,15,2017-10-10,0.22,2,0
2255703,Luxury king size bed + free Jacuzzi,11448150,Liezl,,Norrmalms,59.33818,18.0566,Private room,450,14,18,2017-12-03,0.26,2,0
2266741,Cosy & charming studio-Södermalm!,7391056,Martin,,Södermalms,59.31717,18.06348,Entire home/apt,792,30,64,2019-01-20,0.96,1,0
2276398,Designflat in heart of Sodermalm,450449,Ulf,,Södermalms,59.3189,18.03109,Entire home/apt,1047,2,38,2019-07-23,0.60,1,0
2276883,Bright inner-city pearl with superior location,849871,Mikaela,,Östermalms,59.33591,18.08589,Entire home/apt,822,4,5,2018-08-13,0.07,1,0
2294257,Room in cosy apartment - super central location,2168738,Lina,,Norrmalms,59.33735,18.05573,Private room,1301,2,9,2019-07-18,0.14,1,79
2294849,Renovated room in retro apartment near Stockholm,10313645,Jennifer,,Enskede-Årsta-Vantörs,59.27168,18.05613,Private room,98,2,6,2018-08-16,0.40,1,0
2299571,Rum i  lägenhet mitt i Stockholm!,10944326,Deise,,Norrmalms,59.33465,18.05838,Private room,753,2,94,2019-09-01,1.44,1,9
2309642,Great location in Södermalm!,11047485,Ludvig,,Södermalms,59.31617,18.05447,Entire home/apt,969,5,10,2016-08-14,0.25,1,0
2312332,Exclusive city center apartment!,4203812,Lova,,Östermalms,59.33517,18.07472,Private room,753,2,63,2019-09-22,0.94,1,2
2321365,Charming house 7 min from the Metro,4573672,Franck,,Älvsjö,59.2795,17.97582,Entire home/apt,1702,5,6,2018-07-16,0.09,1,0
2351730,New build apartment. 15 min to city,12009467,Sherin,,Södermalms,59.31039,18.10345,Entire home/apt,1096,5,1,2014-07-08,0.02,1,362
2360468,A clean room with everything you need!,12054492,Maria,,Enskede-Årsta-Vantörs,59.29848,18.06778,Private room,303,14,26,2019-08-18,0.38,1,146
2382805,central studio appartment ,12170547,Yamandu,,Södermalms,59.31758,18.05991,Entire home/apt,792,3,169,2019-09-08,2.49,1,352
2383591,Modern loft 1BD near water,10149989,Jacob,,Kungsholmens,59.33004,18.02578,Entire home/apt,1389,4,0,,,1,0
2402123,Stylish 63 sqm in Röda Bergen/Vasastan,3440112,Erik,,Norrmalms,59.34338,18.03556,Entire home/apt,998,3,2,2019-08-04,0.71,1,53
2411347,Apt at the best location in charming Vasastan,12323664,Ida,,Norrmalms,59.34148,18.04352,Entire home/apt,998,14,0,,,1,0
2415155,"Stylish, perfect location and family friendly!",1556534,Jerome,,Enskede-Årsta-Vantörs,59.29169,18.0884,Entire home/apt,1497,4,3,2018-08-08,0.05,1,223
2415663,Centrally located one bedroom apartment,11282990,Camilla,,Östermalms,59.34116,18.08705,Entire home/apt,1203,4,19,2019-09-11,0.28,1,0
2418718,Spacious four room appartment ,6843582,Johanna,,Skärholmens,59.30048,17.93913,Entire home/apt,998,1,6,2014-08-15,0.09,1,0
2430052,Perfect home middel in Stockholm,12419819,Oskar,,Norrmalms,59.34385,18.0421,Entire home/apt,890,1,4,2016-11-18,0.11,1,0
2436423,"Charming apartment, great location",12178498,Ola,,Södermalms,59.315,18.0842,Entire home/apt,1497,14,0,,,1,0
